epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5997,1.97828,16.9836,1.33366,0.00052,0.10397,0.00027,9e-05,nan,nan,nan,0.00066242,0.00066242,0.00066242
2,157.215,2.29988,2.49204,1.62361,0.14985,0.14766,0.06624,0.02305,2.41912,3.04286,1.7408,0.0012633,0.0012633,0.0012633
3,224.682,2.27883,2.30386,1.57701,0.29723,0.12255,0.09892,0.04541,2.42252,7.33736,1.92407,0.00179817,0.00179817,0.00179817
4,291.794,2.2384,2.30674,1.5638,0.38341,0.17228,0.14917,0.07142,2.13182,10.786,1.62152,0.001703,0.001703,0.001703
5,357.271,2.10754,2.0196,1.45782,0.42787,0.25565,0.25215,0.12578,1.96129,1.94746,1.51829,0.001604,0.001604,0.001604
6,423.323,2.04764,1.98408,1.43055,0.49959,0.22853,0.23124,0.1217,1.91936,2.06139,1.45136,0.001505,0.001505,0.001505
7,488.906,1.92045,1.82835,1.33286,0.58126,0.26821,0.31707,0.162,1.85243,1.66882,1.36662,0.001406,0.001406,0.001406
8,554.445,1.8892,1.70504,1.30526,0.60433,0.28629,0.32933,0.16487,1.86277,1.65024,1.35828,0.001307,0.001307,0.001307
9,620.363,1.76963,1.58901,1.26591,0.66084,0.30789,0.35779,0.19606,1.71095,1.47382,1.30983,0.001208,0.001208,0.001208
10,686.203,1.76455,1.54053,1.2535,0.65341,0.32546,0.3849,0.20655,1.67804,1.38198,1.26872,0.001109,0.001109,0.001109
11,752.321,1.67162,1.55571,1.23023,0.58622,0.32647,0.36864,0.20061,1.71902,1.47693,1.28392,0.00101,0.00101,0.00101
12,817.828,1.77803,1.54824,1.23846,0.59561,0.30939,0.34175,0.18897,1.65441,1.52482,1.25803,0.000911,0.000911,0.000911
13,883.11,1.70527,1.44688,1.21994,0.63099,0.37318,0.41966,0.23756,1.57424,1.30191,1.21961,0.000812,0.000812,0.000812
14,948.645,1.5915,1.38608,1.17871,0.69782,0.36062,0.43661,0.24753,1.55485,1.23203,1.21438,0.000713,0.000713,0.000713
15,1014.14,1.5495,1.3088,1.13923,0.653,0.40738,0.45234,0.25967,1.51809,1.20205,1.17664,0.000614,0.000614,0.000614
16,1079.83,1.57624,1.3022,1.15587,0.72729,0.36866,0.44596,0.25847,1.51,1.26537,1.18495,0.000515,0.000515,0.000515
17,1145.31,1.5122,1.23826,1.14639,0.66893,0.41537,0.47752,0.28017,1.44994,1.12773,1.15195,0.000416,0.000416,0.000416
18,1210.74,1.46321,1.23538,1.12383,0.68463,0.41761,0.47599,0.28195,1.41344,1.09463,1.142,0.000317,0.000317,0.000317
19,1276.12,1.50756,1.19773,1.1097,0.73714,0.41989,0.50051,0.29707,1.40992,1.08183,1.12945,0.000218,0.000218,0.000218
20,1341.59,1.45941,1.15011,1.13645,0.72288,0.42391,0.50219,0.30092,1.37237,1.03348,1.1324,0.000119,0.000119,0.000119
